model;description
2472;Large Vintage floral designed Oushak rug. Approximately 55-65 years old. In very good condition.
2473;Vintage decorative Turkish Kars rug. In very good condition. Rare find, Unique handmade item.
2474;Vintage unique Turkish Kars rug. Approximately 55-65 years old. In very good condition.
2475;Decorative Vintage Turkish Kars wool rug. Approximately 50-60 years old. In very good condition.
2476;Vintage Unique rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2477;Vintage decorative Kars rug. Approximately 55-65 years old. In very good condition.
2478;Vintage Handknotted Turkish Herki rug. Approximately 55-65 years old. In very good condition.
2479;Handknotted Vintage Turkish Kars rug. Approximately 50-60 years old. In very good condition.
2480;Vintage unique Turkish Herki rug. Approximately 55-65 years old. In very good condition.
2481;Handknotted Vintage Turkish Kars rug. Approximately 50-60 years old. In very good condition.
2482;Vintage Unique Turkish Herki rug. Approximately 55-65 years old. In very good condition.
2483;Vintage unique handknotted Turkish Kars rug. dated 1980. In very good condition.
2484;Handknotted vintage decorative rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2485;Vintage Unique handknotted Turkish rug from Denizli region of Turkey. Approximately 65-75 years old. In very good condition.
2486;Handknotted distressed malayer runner. Approximately 85-100 years old. In very good condition.
2487;Vintage unique herki runner rug. Approximately 50-60 years old. In very good condition.
2488;Handknotted vintage unique Turkish Herki runner. Approximately 50-60 years old. In very good condition.
2489;Vintage decorative runner rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2490;Handknotted vintage wool rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2491;Vintage Turkish Konya runner rug. Approximately 50-60 years old. In very good condition.
2492;Handknotted vintage Turkish Konya runner rug. Approximately 50-60 years old. In very good condition.
2493;Vintage unique Turkish Konya Runner rug. Approximately 50-60 years old . _n very good condition.
2494;Handknotted vintage runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2495;Vintage distressed runner rug from Konya region of Turkey. Approximately 50-60 years old . In very good condition.
2496;Vintage distressed runner rug from Konya region of Turkey. Approximately 50-60 years old . In very good condition.
2497;Vintage decorative Turkish herki rug. Approximately 50-60 years old. In very good condition.
2498;Vintage decorative Turkish Herki runner rug. Approximately 50-60 years old. In very good condition.
2499;Handknotted vintage colorful runner rug from Hakkari region of Turkey. Approximately 50-60 years old. In very good condition.
2500;Vintage unique decorative runner rug from Hakkari region of Turkey. Approximately 50-60 years old. In very good condition.
2501;Vintage faded runner rug from Hakkari region of Turkey. Approximately 50-60 years old. In very good condition.
2502;Vintage washed out rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2503;Vintage decorative rug from Konya region of Turkey.Approximately 50-60 years old. In very good condition.
2504;Handknotted vintage rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2505;Vintage decorative Turkish Konya rug. Approximately 45-55 years old. In very good condition.
2506;Handknotted vintage unique rug from Konya region of Turkey. Approximately 60-70 years old. In very good condition.
2507;Vintage pastel small rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2508;Vintage floral rug from Konya region of Turkey.Approximately 50-60 years old. In very good condition.
2509;Handknotted vintage rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2510;Antique Decorative Caucasian Rug. Approximately 75-85 years old. In very good condition.
2511;Antique small malayer rug. Approximately 100-120 years old. In good condition.
2512;Vintage small Oushak rug. Approximately 45-55 years old. In very good condition.
2513;Vintage worn runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2514;Vintage small Oushak rug. Approximately 45-55 years old. In very good condition.
2515;Vintage small Oushak rug. Approximately 45-55 years old. In very good condition.
2516;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2517;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2518;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2519;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2520;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2521;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2522;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2523;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2524;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2525;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2526;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2527;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2528;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2529;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2530;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2531;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2532;Vintage Handknotted Turkish Herki rug. Approximately 55-65 years old. In very good condition.
2533;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2534;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2535;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2536;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2537;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2538;Vintage handknotted rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2539;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2540;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2541;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2542;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2543;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2544;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2545;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2546;Vintage handknotted rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2547;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2548;Vintage handknotted washed out Turkish Konya rug. Approximately 50-60 years old. In very good condition.
2549;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2550;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2551;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2552;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2553;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2554;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2555;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2556;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2557;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2558;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2559;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2560;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2561;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2562;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2563;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2564;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2565;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2566;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2567;Decorative Vintage handknotted rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2568;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2569;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2570;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2571;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old. In very good condition.
2572;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2573;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2574;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2575;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2576;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2577;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2578;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2579;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2580;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2581;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2582;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2583;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2584;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2585;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2586;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2587;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2588;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2589;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2590;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2591;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2592;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2593;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2594;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2595;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2596;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2597;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2598;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2599;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2600;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2601;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2602;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2603;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2604;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2605;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2606;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2607;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2608;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2609;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2610;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2611;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2612;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2613;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2614;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2615;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2616;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2617;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2618;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2619;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2620;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2621;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2622;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2623;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2624;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2625;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2626;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2627;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2628;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2629;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2630;Decorative Vintage handknotted runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2631;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2632;Vintage handknotted area rug from Konya region of Turkey. Approximately 45-55 years old. In very good condition.
2633;Handknotted vintage rug from Oushak region of Turkey. Approximately 45-60 years old . In very good condition.
2634;Handwoven vintage goat hair large kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2635;Handwoven vintage goat hair large kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2636;Handwoven vintage goat hair large kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2637;Handwoven vintage goat hair large kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2638;Vintage handwoven striped kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2639;Vintage decorative handwoven kilim rug from Kars region of Turkey. Approximately 55-65 years old. In very good condition.
2640;Vintage wool kilim rug from Sivas region of Turkey. Approximately 55-65 years old. In very good condition.
2641;Oversized vintage handwoven unique wool kilim rug from Kars region of Turkey.Approximately 60-70 years old. In very good condition.
2642;Vintage square wool kilim rug from Kars region of Turkey. Approximately 60-70 years old. In very good condition.
2643;Vintage handwoven unique wool kilim rug from Kars region of Turkey. Approximately 60-70 years old. In very good condition.
2644;Handwoven Vintage embroidered kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2645;Vintage Handwoven kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2646;Vintage Handwoven kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2647;Handwoven long kilim runner rug from Adana region of Turkey. Appoximately 45-55 years old. In very good condition.
2648;Handwoven long kilim runner rug from Adana region of Turkey. Appoximately 45-55 years old. In very good condition.
2649;Vintage Handwoven kilim rug from Kayseri region of Turkey. Approximately 50-60 years old. In very good condition.
2650;Vintage Handwoven kilim rug from Antalya region of Turkey. Approximately 50-60 years old. In very good condition.
2651;Vintage handwoven kilim rug from Malatya region of Turkey. Approximately 75-85 years old. In very good condition.
2652;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2653;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2654;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2655;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2656;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2657;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2658;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2659;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2660;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2661;Embroidered vintage washed out kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2662;Embroidered Washed out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2663;Embroidered Washed out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2664;Embroidered Washed out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2665;Embroidered Washed out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2666;Embroidered Washed Out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2667;Embroidered Washed Out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2668;Embroidered Washed Out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2669;Embroidered Washed Out vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2670;Embroidered Washed Out Vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2671;Embroidered Washed Out Vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2672;Faded vintage embroidered kilim rug from Denizli region of Turkey.Approximately 50-60 years old. In very good condition.
2673;Embroidered Washed Out Vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2674;Vintage handwoven kilim rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2675;Vintage handwoven kilim rug from denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2676;Vintage handwoven kilim rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2677;Handwoven vintage striped kilim rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2678;Handwoven colorful Vintage kilim rug from Artvin region of Turkey. Dated Feb,10 1958. In very good condition.
2679;Handwoven vintage kilim rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2680;Vintage handknotted decorative art deco rug from OUshak region of Turkey. Approximately 50-60 years old. In very good condition.
2681;Antique distressed Persian Mahal rug. Approximately 85-100 years old. In very good condition.
2682;Vintage washed out area rug from Oushak region of Turkey. Approximately 45-55 years old. In very good condition.
2683;Vintage washed out area rug from Oushak region of Turkey. Approximately 45-55 years old. In very good condition.
2684;Vintage washed out area rug from Oushak region of Turkey. Approximately 45-55 years old. In very good condition.
2685;Vintage washed out area rug from Oushak region of Turkey. Approximately 45-55 years old. In very good condition.
2686;Vintage washed out area rug from Oushak region of Turkey. Approximately 45-55 years old. In very good condition.
2687;Vintage washed out machine loom 1920's Belgium rug. In good condition. Rare find, Unique handmade item.
2688;Handknotted Antique Persian Mushkabad Mahal rug. Approximately 75-85 years old. In good condition.
2689;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2690;Vintage Oversized floral rug from Oushak region of Turkey. Approximately 55-65 years old. In very good condition.
2691;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2692;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2693;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2694;Washed out vintage Distressed rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2695;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2696;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2697;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2698;Washed out vintage faded rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2699;Washed out Vintage runner rug from Hakkari region of Turkey. Approximately 50-60 years old. In very good condition.
2700;Handknotted vintage rug from Konya region of Turkey. Approximately 55-65 years old. In very good condition.
2701;Vintage handknotted decorative Herki Runner rug. Approximately 50-60 years old. In very good condition.
2702;Vintage handknotted decorative Herki Runner rug. Approximately 50-60 years old. In very good condition.
2703;Vintage handknotted decorative Herki Runner rug. Approximately 50-60 years old. In very good condition.
2704;Vintage handknotted decorative Herki Runner rug. Approximately 50-60 years old. In very good condition.
2705;Overdyed Vintage gray rug from Isparta region of Turkey. Approximately 50-60 years old. In very good condition.
2706;Overdyed Vintage gray rug from Isparta region of Turkey. Approximately 50-60 years old. In very good condition.
2707;Vintage handknotted decorative Herki Runner rug. Approximately 65-75 years old. In very good condition.
2708;Vintage washed out unique rug from Kars region of Turkey. Dated 1959. In very good condition .
2709;Washed out Vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2710;Decorative unique vintage rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2711;Handknotted vintage runner rug from Konya region of Turkey.Approximately 50-60 years old. In very good condition.
2712;Handknotted vintage rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2713;Handknotted vintage runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2714;Handknotted vintage runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2715;Handknotted vintage runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2716;Handknotted vintage runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2717;Handknotted vintage runner rug from South Eastern Turkey. Approximately 50-60 years old. In very good condition.
2718;Vintage washed out unique rug from Kars region of Turkey. Aproximately 50-60 years ol. In very good condition .
2719;Vintage Washed out vintage rug from Isparta region of Turkey. Approximately 50-60 years old. In very good condition.
2720;Vintage washed out runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good codition.
2721;Vintage colorful kilim rug from Antalya region of Turkey. Approximately 50-60 years old. Small holes will be repair professionally before shipment.
2722;Vintage handwoven decorative kilim rug from Marash region of Turkey. Approximately 55-65 years old. In good condition.
2723;Vintage handwoven decorative kilim rug from Marash region of Turkey. Approximately 55-65 years old. In good condition.
2724;Vintage handwoven decorative kilim rug from Marash region of Turkey. Approximately 55-65 years old. In good condition.
2725;Vintage Embroidered kilim runner rug from Malatya region of Turkey. Approximately 50-60 years old. In very good condition.
2726;Vintage decorative runner rug from Hakkari region of Turkey. Approximately 50-60 years old. In very good condition.
2727;Vintage Unique Art Deco Runner rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2728;Vintage decorative area rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2729;Vintage decorative area rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2730;Vintage decorative area rug from Konya region of Turkey. Approximately 40-50 years old. In very good condition.
2731;Vintage floral decorative rug from Oushak Region of Turkey. Approximately 50-60 years old. In very good condition.
2732;Vintage art deco runner rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2733;Vintage decorative Runner rug from Hakkari region of Turkey. Approximately 50-60 years old. In very good condition.
2734;Vintage distressed mini runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2735;Vintage decorative area rug from Konya region of Turkey. Approximately 40-50 years old. In very good condition.
2736;Vintage decorative colorful Tulu rug. Approximately 45-55 years old. In very good condition.
2737;Vintage handknotted rug from Herki region of Turkey. Approximately 50-60 years old. In very good condition.
2738;Antique Distressed oversized Persian hadji Jalili rug. Over 100 years old. In good condition.
2739;Vintage washed out rug from Oushak Region of Turkey. Approximately 50-60 years old. In very good condition.
2740;Vintage washed out rug from Oushak Region of Turkey. Approximately 50-60 years old. In very good condition.
2741;Vintage washed out rug from Oushak Region of Turkey. Approximately 50-60 years old. In very good condition.
2742;Vintage washed out large rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2743;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2744;Handknotted vintage art deco rug from Oushak region of Turkey. Approximately 50-60 years old.In very good condition.
2745;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2746;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2747;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2748;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2749;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2750;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2751;Handknotted vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2752;Handknotted vintage rug from Kars region of Turkey. Approximately 55-65 years old. In very good condition.
2753;Vintage washed out rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2754;Washed out vintage rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2755;Vintage handknotted worn out area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2756;Vintage handknotted worn out area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2757;Vintage washed out area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2758;Vintage washed out rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2759;Worn vintage runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2760;Vintage washed out area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2761;Vintage washed out area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2762;Vintage washed out area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2763;Vintage decorative area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2764;Antique distressed Persian Malayer rug. Approximately 90-110 years old. In good condition.
2765;Worn vintage runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2766;Vintage handknotted area rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2767;Worn vintage runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2768;Worn vintage runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2769;Worn vintage runner rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2770;Handknotted vintage decorative runner rug from South Eastern Turkey. Approximately 60-70 years old. In very good condition.
2771;Vintage handknotted area rug from Oushak region of Turkey. Approximately 50-60 years old. In very good condition.
2772;Handknotted decorative vintage rug from Konya region of Turkey. Approximately 50-60 years old. In very good condition.
2773;Handwoven striped vintage kilim rug from Adana region of Turkey. Approximately 45-55 years old. In very good condition.
2774;Vintage Handwoven embroidered kilim rug from Malatya region of Turkey. Approximately 50-60 years old. In very good condition.
2775;Vintage handwoven decorative kilim rug from Kars region of Turkey. Approximately 50-60 years old. In very good condition.
2776;Vintage handwoven kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2777;Vintage striped decorative runner rug from Afyon region of Turkey. Approximately 50-60 years old. In very good condition.
2778;Handwoven vintage striped kilim rug from Denizli region of Turkey. Approximately 60-70 years old. In very good condition.
2779;Handwoven vintage striped kilim rug from Antalya region of Turkey. Approximately 50-60 years old. In very good condition.
2780;Handwoven vintage striped kilim rug from Afyon region of Turkey.Approximately 50-60 years old. In very good condition.
2781;Handwoven embroidered vintage kilim rug from Denizli region of Turkey. Approximately 50-60 years old. In very good condition.
2782;Handwoven striped colorful kilim rug from Antalya region of Turkey. Approximately 35-45 years old. In very good conditon.
