model;description
0199;Decorative colourful kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0200;Vintage modern kilim rug from Adana region of Turkey. In very good condition. Approximately 40-50 years old.
0201;Vintage modern cotton kilim rug from Adana region of Turkey. In very good conditon. Approximately 40-50 years old.
0202;Vintage cotton kilim rug from Adana region of Turkey. In very good condition. Approximately 40-50 years old.
0204;Vintage decorative kilim rug from Adana region of Turkey. In very good condition. Approximately 40-50 years old.
0210;Vintage washed out decorative runner rug from Malatya region of Turkey. In good condition. Approximately 50-60 years old.
0213;Vintage runner rug from Nigde region of Turkey. In good condition. Approximately 50-60 years old.
0216;Vintage runner rug from Malatya region of Turkey. In very good condition. Approximately 50-60 years old.
0221;Vintage kilim runner from Adana region of Turkey. In very good condition. Approximately 60-70 years old Rare find, Unique handmade item.
0222;Vintage kilim runner from Adana region of Turkey. In very good condition. Approximately 60-70 years old Rare find, Unique handmade item.
0227;Vintage large kilim rug from Bayburt region of Turkey. In very good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0233;Vintage large kilim rug from Sivas region of Turkey. In very good condition. Approximately 55-65 years old Rare find, Unique handmade item.
0234;Vintage large kilim rug from Afyon region of Turkey. In very good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0235;Vintage large kilim rug from Sivas region of Turkey. In perfect condition. Approximately 70-80 years old.
0236;Vintage large kilim rug from Denizli region of Turkey. In very good condition. Approximately 50-60 years old.
0237;Vintage large kilim rug from Afyon region of Turkey. In very good condition. Approximately 55-65 years old Rare find, Unique handmade item.
0238;Vintage oversized kilim rug from Eskisehir region of Turkey. In good condition. Approximately 40-50 years old.
0240;Vintage kilim rug from Fethiye region of Turkey. In very good conditon. Approximately 50-60 years old.
0241;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0242;Vintage decorative rug from Denizli region of Turkey. In very good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0243;Vintage rug from Hakkari region of Turkey. In very good condition. Approximately 70-80 years old Rare find, Unique handmade item.
0250;Vintage mini runner rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0252;Vintage kilim rug from Denizli region of Turkey. In good condition. Approximately 50-60 years old.
0253;Vintage kilim rug from Malatya region of Turkey. In very good condition. Approximately 50-60 years old.
0254;Vintage kilim rug from Antalya region of Turkey. In very good condition. Approximately 40-50 years old.
0255;Vintage kilim rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0256;Vintage embroidered kilim rug from Fethiye region of Turkey. In very good condition. Approximately 50-60 years old.
0257;Vintage small kilim rug from Denizli region of Turkey. In very good condition. Approximately 40-50 years old.
0266;Vintage kilim runner from Marash region of Turkey. In very good condition. Approximately 50-60 years old.
0269;Vintage naturel kilim rug from Malatya region of Turkey. In very good condition. Approximately 50-60 years old.
0271;Vintage striped kilim rug from Adana region of Turkey. In good condition. Approximately 35-45 years old.
0272;Vintage white groun embroidered kilim rug from Afyon region of Turkey. In very good condition. Approximately 45-55 years old.
0274;Vintage modern kilim rug from Adana region of Turkey. In very good condition. Approximately 45-55 years old.
0276;Vintage decorative rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0279;Vintage small kilim rug from Afyon region of Turkey. In very good condition. Approximately 35-45 years old Rare find, Unique handmade item.
0280;Vintage handwoven kilim rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0282;Vintage small kilim rug from Malatya region of Turkey. In very good condition. Approximately 75-85 years old.
0283;Vintage kilim rug from Adana region of Turkey. In very good condition. Approximately 35-45 years old.
0284;Antique small sized kilim rug from Malatya region of Turkey. In very good condition. Approximately 75-85 years old.
0285;Handwoven vintage kilim rug from Denizli region of Turkey. In very good condition. Approximately 35-45 years old.
0286;Vintage handwoven kilim rug from Aydin region of Turkey. In very good condition. Approximately 50-60 years old.
0288;Handwoven vintage kilim from Malatya region of Turkey. In very good condition. Approximately 70-80 years old Rare find, Unique handmade item.
0289;Vintage kilim rug from Antalya region of Turkey. In very good condition. Approximately 35-45 years old.
0290;Handwoven vintage kilim rug from Mut region of Turkey. In good condition. Approximately 45-55 years old.
0292;Handwoven-Handknotted kilim rug from Oushak region of Turkey. In very god condition.New production Rare find, Unique handmade item.
0293;Antique kilim rug from Malatya region of Turkey. In very good condition. Approximately 70-80 years old.
0294;Vintage small kilim rug from Denizli region of Turkey. In very good condition. Approximately 40-50 years old.
0295;Prayer kilim rug from Kayseri region of Turkey. In good condition.New production Rare find, Unique handmade item.
0296;Vintage small kilim rug from Adana region of Turkey. In good condition. Approximately 25-35 years old.
0298;Vintage small kilim rug from Afyon region of Turkey. In very good condition. Approximately 40-50 years old.
0303;Vintage embroidered small sofrah kilim rug from Denizli region of Turkey. In good condition. Approximately 40-50 years old Rare find, Unique handmade item.
0306;Vintage small kilim rug from Antalya region of Turkey. In very good condition. Approximately 45-55 years old.
0307;Vintage art deco rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0310;Vintage decorative rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0311;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0313;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0315;Vintage art deco rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0318;Vintage art deco rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0319;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0321;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0322;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 40-50 years old.
0323;Vintage art deco rug from Isparta region of Turkey. In very good condition. Approximately 40-50 years old.
0324;Vintage decorative rug from Isparta region of Turkey. In good condition. Approximately 40-50 years old.
0325;Vintage art deco rug from Isparta region of Turkey. In very good condition. Approximately 45-55 years old.
0326;Vintage art deco rug from Isparta region of Turkey. In very good condition. Approximately 50-60 years old.
0327;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0330;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0331;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0332;Vintage art deco rug from Isparta region of Turkey. Approximately 50-60 years old. Rare find, Unique handmade item.
0333;Vintage yellow rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0335;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old Rare find, Unique handmade item.
0336;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0339;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0340;Vintage rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0341;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0343;Vintage red rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0344;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0345;Vintage decorative rug from Isparta region of Turkey. In good condition. Approximately 45-55 years old.
0347;Vintage decorative rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0348;Vintage decorative rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old.
0349;Vintage art deco rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0354;Vintage filikli rug with angora hair from Adana region of Turkey. In good condition. Approximately 45-55 years old.
0355;Vintage filikli kilim rug from Adana region of Turkey. In good condition. Approximately 50-60 years old.
0356;Vintage filikli kilim rug from Adana region of Turkey. In very good condition. Approximately 50-60 years old.
0357;Vintage filikli kilim rug from Adana region of Turkey. In good condition. Approximately 50-60 years old.
0359;Vintage blanket kilim rug from Siirt region of Turkey. In good condition. Rare find, Unique handmade item.
0361;Vintage blanket kilim rug from Siirt region of Turkey. In good condition. Approximately 35-45 years old Rare find, Unique handmade item.
0362;Vintage area rug from Konya region of Turkey. In good condition. Approximately 40-50 years old.
0363;Vintage area rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0370;Vintage tulu rug from Konya region of Turkey. In good condition. Approximately 45-55 years old.
0371;Vintage tulu rug from Konya region of Turkey. In good condition. Approximately 45-55 years old.
0372;Vintage tulu rug from Konya region of Turkey. In good condition. Approximately 45-55 years old.
0376;Vintage oversize kilim rug from Denizli region of Turkey. In very good condition. Approximately 50-60 years old.
0378;Vintage large kilim rug from Denizli region of Turkey. In very good condition. Approximately 50-60 years old.
0379;Vintage kilim rug from Bayburt region of Turkey. In very good condition. Approximately 55-65 years old.
0380;Vintage large striped kilim rug from Adana region of Turkey. In good condition. Approximately 55-65 years old Rare find, Unique handmade item.
0381;Vintage large striped kilim rug from Adana region of Turkey. In very good condition. Approximately 50-60 years old.
0382;Vintage oversize kilim rug from adana region of Turkey. In very good condition. Approximately 55-65 years old.
0383;Vintage tulu rug from Konya region of Turkey. In good condition. Approximately 50-60 years old.
0384;Modern simple kilim rug from Malatya region of Turkey. In very good condition. Approximately 65-75 years old.
0385;Vintage modern kilim rug from Malatya region of Turkey. In very good condition. Approximately 65-75 years old.
0386;Vintage handwoven striped kilim rug from Malatya region of Turkey. In very good condition. Approximately 50-60 yearsold.
0389;Vintage handwoven striped kilim rug from Malatya region of Turkey. In good condition. Approximately 60-70 years old.
0391;Vintage decorative kilim rug from Afyon region of Turkey. In very good condition. Approximately 50-60 years old.
0399;Handwoven vintage kilim rug from Afyon region of Turkye. In very good condition. Approximately 50-60 years old.
0403;Vintage large grey rug from Adana region of Turkey. In very good condition. Approximately 50-60 years old.
0420;Vintage naturel kilim rug from Malatya region of Turkey. In very good condition. Approximately 50-60 years old.
